row,no,addr,district,action,conf,via,oldLat,oldLng,newLat,newLng,movedKm
29,PDP-0273-20,3 Perots Island,Southampton,REVIEW,parish-anchor,street not in OSM,32.260736,-64.830029,32.2544361,-64.8439449,1.49
30,PDP-0274-20,47 Harrington Sound Road,Smiths,kept,client-original,,32.3224614,-64.7214824,32.3224614,-64.7214824,0
31,BR-0208-20,6 Southcote Road,Paget,RECOVERED,client-point,client coordinate sitting on southcote road,32.2776505,-64.781677,32.277112,-64.781423,0.06
32,PDP-0267-20,97 Middle Road,Southampton,kept,client-original,,32.2535982,-64.8536045,32.2535982,-64.8536045,0
33,PDP-0265-20,4 Tranquillity Lane,St. George,kept,client-original,,32.3696418,-64.6673787,32.3696418,-64.6673787,0
34,PDP-0289-20,25 Camden North Road,Paget,kept,client-original,,32.295916,-64.761832,32.295916,-64.761832,0
35,BR-0198-20,14 Belmont Road,Warwick,kept,client-original,,32.274053,-64.8034768,32.274053,-64.8034768,0
36,BR-0218-20,4 Bellevue Drive,Paget,OSM,street,bellevue drive,32.286077,-64.770124,32.2857855,-64.7690394,0.11
37,PDP-0148-19,9 East Point Lane,Hamilton,OSM,near-number,east point lane,32.3255161,-64.7412199,32.3249511,-64.7410545,0.06
38,BR-0207-20,9 Spice Hill Road,Warwick,kept,client-original,,32.2604984,-64.8180176,32.2604984,-64.8180176,0
39,PDP-0309-20,41 South Road,Southampton,RECOVERED,client-point,client coordinate sitting on south road,32.250338,-64.848699,32.248964,-64.839529,0.88
40,PDP-0303-20,48 South Road,Southampton,kept,client-original,,32.249024,-64.841185,32.249024,-64.841185,0
41,BR-0260-20,10 Harbour Road,Warwick,kept,client-original,,32.269838,-64.816052,32.269838,-64.816052,0
42,BR-0233-20,10 Upland Lane,Warwick,OSM,near-number,upland lane,32.269325,-64.790744,32.2688561,-64.7904782,0.06
43,PDP-0349-20,25 Pitts Bay Road,Pembroke,kept,client-original,,32.2965483,-64.7962481,32.2965483,-64.7962481,0
44,PDP-0311-20,2 Tanglewood Road,Paget,kept,client-original,,32.277494,-64.789474,32.277494,-64.789474,0
45,PDP-0362-20,6 Inglewood Lane,Paget,kept,client-original,,32.286448,-64.767161,32.286448,-64.767161,0
46,BR-0283-20,10 North Court Avenue,Pembroke,OSM,street,north court avenue,32.3044057,-64.7991857,32.3042559,-64.7988335,0.04
47,BR-0244-20,18 Cambridge Road,Sandys,kept,client-original,,32.3059986,-64.8689317,32.3059986,-64.8689317,0
48,PDP-0365-20,11 Rosemont Avenue,Pembroke,kept,client-original,,32.2959526,-64.7928811,32.2959526,-64.7928811,0
49,PDP-0381-20,41 Tuckers Town Road,St. George,kept,client-original,,32.3336302,-64.6860786,32.3336302,-64.6860786,0
50,PDP-0389-20,7 Stokes Point Road,St. George,kept,client-original,,32.3733523,-64.6912591,32.3733523,-64.6912591,0
51,BC-0162-20,46 Front Street,City of Hamilton,kept,client-original,,32.2922369,-64.7852386,32.2922369,-64.7852386,0
52,PDP-0395-20,12 Fort George Hill,Town of St. George,kept,client-original,,32.3798619,-64.6830048,32.3798619,-64.6830048,0
53,PDP-0397-20,36 Hinson Island,Paget,REVIEW,parish-anchor,street not in OSM,32.282623,-64.800339,32.2849567,-64.7753406,2.37
54,PDP-0409-20,9 Cavello Heights,Sandys,kept,client-original,,32.2970438,-64.8635236,32.2970438,-64.8635236,0
55,PDP-0405-20,41 Hinson Island,Paget,REVIEW,parish-anchor,street not in OSM,32.282095,-64.801389,32.2849567,-64.7753406,2.47
56,PDP-0424-20,90 White Sands Road,Paget,kept,client-original,,32.2788802,-64.7703172,32.2788802,-64.7703172,0
57,PDP-0421-20,36 Middle Road,Paget,kept,client-original,,32.280149,-64.783894,32.280149,-64.783894,0
58,PDP-0431-20,2 Coral Hill Lane,Warwick,kept,client-original,,32.271906,-64.789187,32.271906,-64.789187,0
59,PDP-0430-20,57 St. David's Road,St. George,kept,client-original,,32.3657366,-64.6634534,32.3657366,-64.6634534,0
60,PDP-0446-20,15 Turk's Head Lane,Devonshire,kept,client-original,,32.2978371,-64.75516,32.2978371,-64.75516,0
61,PDP-0443-20,1 Salt Spray Lane,St. George,OSM,exact,salt spray lane,32.3815884,-64.6669631,32.3815816,-64.6669837,0
62,PDP-0427-20,6 Glebe Hill,Hamilton,kept,client-original,,32.3328226,-64.7026464,32.3328226,-64.7026464,0
63,PDP-0453-20,10 Agar's Hill,Pembroke,kept,client-original,,32.2941588,-64.8053915,32.2941588,-64.8053915,0
64,BR-0322-20,3 Woodbourne Crescent,Pembroke,kept,client-original,,32.2936196,-64.790057,32.2936196,-64.790057,0
65,PDP-0452-20,18 Church Road,Southampton,kept,client-original,,32.2510247,-64.8460776,32.2510247,-64.8460776,0
66,PDP-0264-20,6 Riviera Road,Southampton,kept,client-original,,32.2576203,-64.8273125,32.2576203,-64.8273125,0
67,PDP-0502-20,15 Berry Hill Road,Paget,kept,client-original,,32.2939551,-64.7682289,32.2939551,-64.7682289,0
68,PDP-0507-20,1 Speakers Drive,St. George,RECOVERED,client-point,client coordinate sitting on speakers drive,32.378457,-64.685103,32.3778111,-64.6851087,0.07
69,PDP-0477-20,40 Tribe Road No 2 Unit: A,Warwick,kept,client-original,,32.2719551,-64.7948178,32.2719551,-64.7948178,0
70,BR-0359-20,6 Old Slip Lane,Pembroke,kept,client-original,,32.2911702,-64.795966,32.2911702,-64.795966,0
71,BC-0067-19,1 The Lane,Paget,RECOVERED,client-point,client coordinate sitting on the lane,32.2899416,-64.772349,32.290426,-64.772063,0.06
72,BC-0217-20,18 Point Finger Road,Paget,RECOVERED,client-point,client coordinate sitting on point finger road,32.2922687,-64.7678844,32.291779,-64.767231,0.08
73,BC-0179-20,26 Bermudiana Road,City of Hamilton,OSM,exact,bermudiana road,32.2925451,-64.7875355,32.292488,-64.7874752,0.01
74,PDP-0558-20,53 South Road,Warwick,kept,client-original,,32.249392,-64.844169,32.249392,-64.844169,0
75,PDP-0511-20,6 Upland Close,Devonshire,kept,client-original,,32.3060828,-64.7520697,32.3060828,-64.7520697,0
76,PDP-0517-20,9 Point Shares Road,Pembroke,RECOVERED,client-point,client coordinate sitting on point shares road,32.2941285,-64.7997008,32.2953502,-64.8027044,0.31
77,PDP-0594-20,32 Harrington Hundreds Road,Smiths,RECOVERED,client-point,client coordinate sitting on harrington hundreds road,32.3158961,-64.7248843,32.318016,-64.724186,0.24
78,PDP-0516-20,8 Woodstock Hill,Paget,kept,client-original,,32.286299,-64.764576,32.286299,-64.764576,0
79,B0008-21,30 Tanglewood Road,Paget,RECOVERED,client-point,client coordinate sitting on tanglewood road,32.27758,-64.787245,32.276417,-64.788316,0.16
80,PDP-0615-20,5 Highwood Lane,Paget,kept,client-original,,32.2878187,-64.7792227,32.2878187,-64.7792227,0
81,BC-0250-20,27 King Street,City of Hamilton,kept,client-original,,32.2962748,-64.7784935,32.2962748,-64.7784935,0
82,PDP-0601-20,88 White Sands Road,Paget,kept,client-original,,32.2786638,-64.7705188,32.2786638,-64.7705188,0
83,PDP-0613-20,4 Marley Beach Lane,Warwick,kept,client-original,,32.264246,-64.797304,32.264246,-64.797304,0
84,BR-0420-20,8 West Side Road,Sandys,kept,client-original,,32.3006358,-64.8772515,32.3006358,-64.8772515,0
85,PDP-0614-20,5 Marley Beach Drive,Warwick,kept,client-original,,32.264147,-64.797643,32.264147,-64.797643,0
86,B0017-21,63 Texas Road,St. George,kept,client-original,,32.366174,-64.655897,32.366174,-64.655897,0
87,B0019-21,80 Middle Road,Smiths,kept,client-original,,32.3200049,-64.7348835,32.3200049,-64.7348835,0
88,B0018-21,9 Flowercote Lane,Smiths,kept,client-original,,32.317914,-64.726296,32.317914,-64.726296,0
89,B0011-21,10 Brown Estates Road,Hamilton,RECOVERED,client-point,client coordinate sitting on brown estates road,32.2942679,-64.7853167,32.336619,-64.731023,6.95
90,B0020-21,5 Piper's Peak,Warwick,kept,client-original,,32.2625823,-64.8081918,32.2625823,-64.8081918,0
91,B0015-21,27 Devon Point Lane,Devonshire,kept,client-original,,32.3004091,-64.7432977,32.3004091,-64.7432977,0
92,B0010-21,38 Middle Road,Paget,RECOVERED,client-point,client coordinate sitting on middle road,32.2803718,-64.7836317,32.280183,-64.784913,0.12
93,BR0013-21,22 Fairvale Lane,Warwick,REVIEW,parish-anchor,street not in OSM,32.273048,-64.794697,32.2678602,-64.8053367,1.16
94,BR0015-21,17 Sound View Road,Sandys,kept,client-original,,32.2953411,-64.8629142,32.2953411,-64.8629142,0
95,B0097-21,1 Eustace Close,Southampton,OSM,street,eustace close,32.2596779,-64.8661032,32.2594416,-64.8661233,0.03
96,BR-0412-20,24 Skyline Road,Smiths,kept,client-original,,32.3195565,-64.7205489,32.3195565,-64.7205489,0
97,BC0035-21,40 North Shore Road,Hamilton,kept,client-original,,32.3235107,-64.7369515,32.3235107,-64.7369515,0
98,B0176-21,2 Sanz Close,Pembroke,OSM,street,sanz close,32.2941,-64.7963,32.2969152,-64.7944164,0.36
99,B0139-21,22 Tee Street,Devonshire,kept,client-original,,32.296095,-64.75857,32.296095,-64.75857,0
100,BR0068-21,21 Harbour Road,Warwick,kept,client-original,,32.270992,-64.813991,32.270992,-64.813991,0
101,B0150-21,26 Middle Road Unit: A,Paget,kept,client-original,,32.280183,-64.784913,32.280183,-64.784913,0
102,B0156-21,6 Ocean Lane,Pembroke,kept,client-original,,32.304537,-64.786334,32.304537,-64.786334,0
103,B0107-21,22 Happy Valley Road,Pembroke,kept,client-original,,32.296584,-64.774937,32.296584,-64.774937,0
104,B0105-21,25 Scott's Hill Road,Sandys,RECOVERED,client-point,client coordinate sitting on scotts hill road,32.297394,-64.866133,32.298507,-64.863986,0.24
105,B0104-21,18 Sleepy Hollow Drive,Hamilton,kept,client-original,,32.341042,-64.730017,32.341042,-64.730017,0
106,B0106-21,29 Hermitage Road,Devonshire,kept,client-original,,32.309202,-64.745456,32.309202,-64.745456,0
107,B0103-21,4 Rebecca Road Unit: A,Southampton,RECOVERED,client-point,client coordinate sitting on rebecca road,32.25866,-64.827887,32.258812,-64.831001,0.29
108,B0102-21,10 Manor Hill,Warwick,OSM,near-number,manor hill,32.277717,-64.794515,32.2777809,-64.7942622,0.02
109,B0169-21,18 Jones Lane,Warwick,kept,client-original,,32.278937,-64.795471,32.278937,-64.795471,0
110,B0184-21,1 Tamarisk Hill,Smiths,kept,client-original,,32.318357,-64.745544,32.318357,-64.745544,0
111,B0181-21,41 Mission Crescent,Paget,kept,client-original,,32.278053,-64.771588,32.278053,-64.771588,0
112,B0112-21,5 Cedarberry Drive,Hamilton,kept,client-original,,32.340728,-64.709274,32.340728,-64.709274,0
113,B0171-21,15 Skroggins Hill,Southampton,kept,client-original,,32.261611,-64.866607,32.261611,-64.866607,0
114,BC0046-21,117 Middle Road,Warwick,kept,client-original,,32.275921,-64.794246,32.275921,-64.794246,0
115,B0175-21,5 Elm Lane,Sandys,kept,client-original,,32.272517,-64.874107,32.272517,-64.874107,0
116,BC0013-21,12 Bakery Lane,Pembroke,OSM,near-number,bakery lane,32.30356201,-64.7938792025,32.2992856,-64.7958167,0.51
117,BR0104-21,16 Burgess Point Road,Warwick,kept,client-original,,32.267279,-64.827915,32.267279,-64.827915,0
118,BR0094-21,8 Holly Lane,Smiths,OSM,street,holly lane,32.319887,-64.739033,32.320226,-64.7395011,0.06
119,B0255-21,14 Windy Bank,Smiths,kept,client-original,,32.314782,-64.743554,32.314782,-64.743554,0
120,B0256-21,2 Astwood Road,Paget,RECOVERED,client-point,client coordinate sitting on astwood road,32.291189,-64.766623,32.289628,-64.766077,0.18
121,B0318-21,51 St. David's Road Unit: A,St. George,kept,client-original,,32.365483,-64.664436,32.365483,-64.664436,0
122,B0283-21,4 Salt Kettle Road,Paget,OSM,street-anchored,salt kettle road,32.282192,-64.790646,32.2834138,-64.7930616,0.26
123,BR0183-21,13 Inglewood Lane,Paget,kept,client-original,,32.284923,-64.765395,32.284923,-64.765395,0
124,BC0074-21,25 Pomander Road,Paget,kept,client-original,,32.291161,-64.77411,32.291161,-64.77411,0
125,BR0184-21,19 Stowe Hill,Paget,RECOVERED,client-point,client coordinate sitting on stowe hill,32.289049,-64.773041,32.288709,-64.77274,0.05
126,BR0182-21,54 St. Anne's Road,Southampton,kept,client-original,,32.252556,-64.838157,32.252556,-64.838157,0
127,BR0235-21,22 Crossfield Drive,Sandys,kept,client-original,,32.301287,-64.875793,32.301287,-64.875793,0
128,BR0202-21,16 Fairways Road,Warwick,kept,client-original,,32.262642,-64.830564,32.262642,-64.830564,0
129,BC0140-21,10 WindReach Lane,Warwick,kept,client-original,,32.262617,-64.810158,32.262617,-64.810158,0
130,BR0222-21,26 Castile Road,Warwick,REVIEW,parish-anchor,street not in OSM,32.265839,-64.829075,32.2678602,-64.8053367,2.25
131,BC0138-21,56 Church Street,City of Hamilton,kept,client-original,,32.2939975,-64.7824583,32.2939975,-64.7824583,0
132,BR0287-21,3 Wingood Way,Sandys,kept,client-original,,32.280111,-64.873297,32.280111,-64.873297,0
133,BC0154-21,6 College Rise,Paget,kept,client-original,,32.278732,-64.776298,32.278732,-64.776298,0
134,BR0275-21,9 Lagoon Drive,Paget,kept,client-original,,32.291273,-64.760036,32.291273,-64.760036,0
135,B0591-21,6 Flat Rock Close,Pembroke,OSM,street,flat rock close,32.307083,-64.811466,32.3065822,-64.8113916,0.06
136,BR0264-21,12 Pitts Bay Road,Pembroke,kept,client-original,,32.298089,-64.797264,32.298089,-64.797264,0
137,BC0188-21,19 Dundonald Street West,City of Hamilton,kept,client-original,,32.296082,-64.785134,32.296082,-64.785134,0
138,BR0330-21,38 South Road,Devonshire,OSM,street,south road,32.299717,-64.747314,32.29916,-64.7501123,0.27
139,BR0009-22,23 Middle Road,Paget,OSM,near-number,middle road,32.280364,-64.789032,32.2796943,-64.78902,0.07
140,BR0003-22,3 Windy Ridge Road,Warwick,kept,client-original,,32.278724,-64.797621,32.278724,-64.797621,0
141,BR0038-22,11 Vaughan's Bay Drive,St. George,kept,client-original,,32.3695125,-64.6557974,32.3695125,-64.6557974,0
142,BR0026-22,3 Seabright Avenue,Paget,RECOVERED,client-point,client coordinate sitting on seabright avenue,32.291840433333334,-64.7637586333333,32.2884612,-64.7620789,0.41
143,BR0035-22,10 Brown Estates Road,Hamilton,kept,client-original,,32.336619,-64.731023,32.336619,-64.731023,0
144,BR0041-22,1 Scarrington Hill,Paget,RECOVERED,client-point,client coordinate sitting on scarrington hill,32.292061,-64.78513,32.279714,-64.786672,1.38
145,BR0039-22,43 Harbour Road,Paget,kept,client-original,,32.284171,-64.78565,32.284171,-64.78565,0
146,BR0353-21,1 Newport Gardens,Southampton,OSM,street,newport gardens,32.252626811111114,-64.845693,32.2535266,-64.8485129,0.28
147,B0052-22,4 Barnes Valley,Paget,kept,client-original,,32.281647,-64.778566,32.281647,-64.778566,0
148,BR0060-22,12 Pitts Bay Road,Pembroke,kept,client-original,,32.298089,-64.797264,32.298089,-64.797264,0
149,BR0013-22,36 Horseshoe Road,Southampton,kept,client-original,,32.258547,-64.819854,32.258547,-64.819854,0
150,B0499-21,7 Granaway Heights Road,Southampton,kept,client-original,,32.252166,-64.861302,32.252166,-64.861302,0
151,B0500-21,1 Glenwood Park Lane,Warwick,kept,client-original,,32.267712,-64.796189,32.267712,-64.796189,0
152,B0173-22,31 Melville Road,Devonshire,RECOVERED,client-point,client coordinate sitting on melville road,32.303719,-64.754045,32.302289,-64.753397,0.17
153,BC0155-21,56 St. John's Road,Pembroke,OSM,street-anchored,street johns road,32.300855,-64.794857,32.3010628,-64.7938283,0.1
154,BR0088-22,12 Leacraft Hill Road,Southampton,kept,client-original,,32.260429,-64.871768,32.260429,-64.871768,0
155,B0215-22,6 Aunt Jinny's Lane,St. George,REVIEW,parish-anchor,street not in OSM,32.368196,-64.673791,32.3632247,-64.6778274,0.67
156,B0210-22,2 Turtle Place,Southampton,kept,client-original,,32.254371,-64.822919,32.254371,-64.822919,0
157,B0213-22,9 Middle Road,Warwick,kept,client-original,,32.263627,-64.818196,32.263627,-64.818196,0
158,B0211-22,22 Harrington Sound Road,Hamilton,kept,client-original,,32.333198,-64.707918,32.333198,-64.707918,0
159,BR0068-22,10 Cedarberry Drive,Hamilton,kept,client-original,,32.34007,-64.709838,32.34007,-64.709838,0
160,B0621-21,7 Rushy Lane,Sandys,kept,client-original,,32.298058,-64.874695,32.298058,-64.874695,0
161,BC0020-22,27 Serpentine Road,Pembroke,kept,client-original,,32.297937,-64.792059,32.297937,-64.792059,0
162,B0224-22,13 Belmont Road,Warwick,kept,client-original,,32.274768,-64.801626,32.274768,-64.801626,0
163,B0234-22,2 Ord Valley Lane Unit: A,Warwick,kept,client-original,,32.270334,-64.794207,32.270334,-64.794207,0
164,BR0083-22,2 Trunk Island,Hamilton,REVIEW,parish-anchor,street not in OSM,32.333328,-64.727405,32.3412801,-64.7255713,0.9
165,BR0108-22,116 Harbour Road,Paget,kept,client-original,,32.289109,-64.778142,32.289109,-64.778142,0
166,B0243-22,34 Harbour Road Unit: A,Paget,kept,client-original,,32.282209,-64.789155,32.282209,-64.789155,0
167,B0212-22,23 Point Shares Road,Pembroke,OSM,exact,point shares road,32.2920063,-64.8039222,32.2920166,-64.8039268,0
168,B0199-22,3 Mill Shares Road,Pembroke,kept,client-original,,32.296575,-64.801409,32.296575,-64.801409,0
169,B0264-22,6 Hinson Island,Paget,REVIEW,parish-anchor,street not in OSM,32.281492,-64.80354,32.2849567,-64.7753406,2.68
170,B0253-22,5 Fairyland Road,Pembroke,REVIEW,parish-anchor,street not in OSM,32.296397,-64.799038,32.3008022,-64.7915912,0.86
171,B0251-22,19 Railway Trail,Paget,kept,client-original,,32.282435,-64.77464,32.282435,-64.77464,0
172,B0265-22,3 Bluck Point Road,Pembroke,kept,client-original,,32.301988,-64.810955,32.301988,-64.810955,0
173,B0256-22,13 Melville Crescent,Devonshire,kept,client-original,,32.300598,-64.751133,32.300598,-64.751133,0
174,B0275-22,1 St. Patrick's Close,Smiths,RECOVERED,client-point,client coordinate sitting on street patricks close,32.250949,-64.843562,32.306682,-64.740254,11.54
175,B0232-22,32 Dundonald Street,City of Hamilton,OSM,near-number,dundonald street,32.29584,-64.781915,32.2963798,-64.7815961,0.07
176,B0214-22,4 Peters Road,Hamilton,kept,client-original,,32.334625,-64.734321,32.334625,-64.734321,0
177,B0239-22,19 Melville Crescent,Devonshire,kept,client-original,,32.300322,-64.75007,32.300322,-64.75007,0
178,B0273-22,12 Scarrington Hill,Paget,kept,client-original,,32.27894,-64.78625,32.27894,-64.78625,0
179,B0283-22,12 The Lane,Paget,kept,client-original,,32.290739,-64.771277,32.290739,-64.771277,0
180,B0278-22,77 Sleepy Hollow Drive,Hamilton,kept,client-original,,32.340336,-64.728756,32.340336,-64.728756,0
181,BC0041-22,38 Frog Lane,Devonshire,RECOVERED,client-point,client coordinate sitting on frog lane,32.300171,-64.769805,32.301044,-64.768792,0.14
182,BC0119-21,36 Pompano Beach Road,Southampton,OSM,exact,pompano beach road,32.26146178,-64.87336758,32.262134,-64.8787311,0.51
183,B0277-22,18 Cottage Hill Road West,Hamilton,RECOVERED,client-point,client coordinate sitting on cottage hill road west,32.341404,-64.729135,32.341832,-64.729369,0.05
184,B0279-22,16 Harbour Road,Paget,kept,client-original,,32.280533,-64.792226,32.280533,-64.792226,0
185,B0286-22,4 Westering Lane,Warwick,kept,client-original,,32.27397,-64.79437,32.27397,-64.79437,0
186,B0280-22,61 Spice Hill Road,Warwick,kept,client-original,,32.261623,-64.809328,32.261623,-64.809328,0
187,B0291-22,31 Tamarind Vale,Warwick,kept,client-original,,32.26958,-64.813951,32.26958,-64.813951,0
188,B0202-22,13 Harrington Sound Road,Hamilton,kept,client-original,,32.330494,-64.711837,32.330494,-64.711837,0
189,B0310-22,3 Bluebird Lane,Sandys,RECOVERED,client-point,client coordinate sitting on bluebird lane,32.279869,-64.874234,32.279571,-64.874619,0.05
190,B0309-22,4 Bluebird Lane,Sandys,kept,client-original,,32.279246,-64.874482,32.279246,-64.874482,0
191,B0314-22,3 Skyline Road,Smiths,kept,client-original,,32.317997,-64.720393,32.317997,-64.720393,0
192,B0308-22,24 Glenwood Park Crescent,Warwick,kept,client-original,,32.268609,-64.795506,32.268609,-64.795506,0
193,B0252-22,7 Speakers Drive,Devonshire,REVIEW,parish-anchor,street not in OSM,0,0,32.3039374,-64.7591087,8056.13
194,BC0042-22,65 Pitts Bay Road,Pembroke,RECOVERED,client-point,client coordinate sitting on pitts bay road,32.2923572,-64.791171,32.29234,-64.794984,0.36
195,B0332-22,18 Scaur Hill Drive,Sandys,kept,client-original,,32.282344,-64.875523,32.282344,-64.875523,0
196,B0325-22,9 Kilderry Drive,Smiths,OSM,street,kilderry drive,32.312129,-64.745703,32.3113752,-64.7458923,0.09
197,B0351-22,10 Hastings Road,Pembroke,kept,client-original,,32.2925679,-64.8016998,32.2925679,-64.8016998,0
198,BC0069-22,9 Elliott Street,City of Hamilton,RECOVERED,client-point,client coordinate sitting on elliott street,32.29732,-64.78297,32.29686,-64.780142,0.27
199,B0329-22,2 Frascati Lane,Smiths,kept,client-original,,32.320955,-64.739526,32.320955,-64.739526,0
200,B0350-22,39 South Road,Southampton,kept,client-original,,32.249934,-64.849128,32.249934,-64.849128,0
201,B0347-22,50 Morgan Road,Warwick,kept,client-original,,32.276955,-64.795857,32.276955,-64.795857,0
202,B0349-22,80 Middle Road,Devonshire,kept,client-original,,32.320005,-64.734883,32.320005,-64.734883,0
203,B0346-22,12 Commonland Point Road,Hamilton,kept,client-original,,32.330607,-64.73755,32.330607,-64.73755,0
204,B0345-22,13 Sayle Road,Smiths,kept,client-original,,32.309584,-64.739209,32.309584,-64.739209,0
205,B0342-22,15 Beulah Lane,Sandys,kept,client-original,,32.299217,-64.867237,32.299217,-64.867237,0
206,BC0084-22,7 North Shore Road,Devonshire,OSM,exact,north shore road,32.30699757586207,-64.7738048172413,32.3074017,-64.7748124,0.1
207,B0359-22,5 Crestwood Drive,Pembroke,kept,client-original,,32.303564,-64.815352,32.303564,-64.815352,0
208,B0227-22,122 North Shore Road,Hamilton,kept,client-original,,32.340229,-64.736786,32.340229,-64.736786,0
209,B0365-22,20 Jennings Road,Smiths,kept,client-original,,32.320607,-64.741398,32.320607,-64.741398,0
210,B0373-22,2 Fairmont Drive,Southampton,OSM,street,fairmont drive,32.252663,-64.824422,32.2532001,-64.8243495,0.06
211,B0367-22,124 Middle Road,Southampton,kept,client-original,,32.255716,-64.83705,32.255716,-64.83705,0
212,B0371-22,18 Gilbert Hill,Smiths,kept,client-original,,32.310405,-64.739284,32.310405,-64.739284,0
213,B0372-22,37 South Road,Southampton,RECOVERED,client-point,client coordinate sitting on south road,32.250189,-64.849057,32.248954,-64.844145,0.48
214,B0363-22,15 Kilderry Lane,Smiths,kept,client-original,,32.312085,-64.746432,32.312085,-64.746432,0
215,B0313-22,117 Middle Road,Southampton,kept,client-original,,32.253657,-64.847854,32.253657,-64.847854,0
216,B0392-22,11 Bayfield Road,Warwick,kept,client-original,,32.264681,-64.818537,32.264681,-64.818537,0
217,B0370-22,25 Gibbs Hill Road,Southampton,kept,client-original,,32.25372,-64.837044,32.25372,-64.837044,0
218,B0403-22,54 Knapton Estates Road,Smiths,kept,client-original,,32.319661,-64.716842,32.319661,-64.716842,0
219,B0398-22,8 Westwood Lane,Paget,kept,client-original,,32.287388,-64.780262,32.287388,-64.780262,0
220,B0405-22,8 Appleby Lane,Paget,kept,client-original,,32.289,-64.771278,32.289,-64.771278,0
221,B0395-22,11 Benevides Lane,Southampton,kept,client-original,,32.256261,-64.862166,32.256261,-64.862166,0
222,B0410-22,12 Rose Hill Road,Southampton,kept,client-original,,32.261708,-64.870568,32.261708,-64.870568,0
223,B0195-22,19 South Road,Southampton,kept,client-original,,32.250391,-64.85057,32.250391,-64.85057,0
224,B0382-22,20 Woodbourne Avenue,Pembroke,OSM,exact,woodbourne avenue,32.2927587,-64.7895377,32.2927844,-64.7895495,0
225,B0423-22,8 South Avenue,Southampton,kept,client-original,,32.255599,-64.822864,32.255599,-64.822864,0
