row,no,addr,district,action,conf,via,why,oldLat,oldLng,newLat,newLng,movedKm
104,B0105-21,25 Scott's Hill Road,Sandys,kept,,,,32.297394,-64.866133,32.297394,-64.866133,
105,B0104-21,18 Sleepy Hollow Drive,Hamilton,kept,,,,32.341042,-64.730017,32.341042,-64.730017,
106,B0106-21,29 Hermitage Road,Devonshire,kept,,,,32.309202,-64.745456,32.309202,-64.745456,
107,B0103-21,4 Rebecca Road Unit: A,Southampton,kept,,,,32.25866,-64.827887,32.25866,-64.827887,
108,B0102-21,10 Manor Hill,Warwick,kept,,,,32.277717,-64.794515,32.277717,-64.794515,
109,B0169-21,18 Jones Lane,Warwick,kept,,,,32.278937,-64.795471,32.278937,-64.795471,
110,B0184-21,1 Tamarisk Hill,Smiths,kept,,,,32.318357,-64.745544,32.318357,-64.745544,
111,B0181-21,41 Mission Crescent,Paget,kept,,,,32.278053,-64.771588,32.278053,-64.771588,
112,B0112-21,5 Cedarberry Drive,Hamilton,kept,,,,32.340728,-64.709274,32.340728,-64.709274,
113,B0171-21,15 Skroggins Hill,Southampton,kept,,,,32.261611,-64.866607,32.261611,-64.866607,
114,BC0046-21,117 Middle Road,Warwick,kept,,,,32.275921,-64.794246,32.275921,-64.794246,
115,B0175-21,5 Elm Lane,Sandys,kept,,,,32.272517,-64.874107,32.272517,-64.874107,
116,BC0013-21,12 Bakery Lane,Pembroke,RELOCATED,near-number,#10 bakery lane,>0.3km from bakery lane,32.30356201,-64.7938792025,32.2992856,-64.7958167,0.51
117,BR0104-21,16 Burgess Point Road,Warwick,kept,,,,32.267279,-64.827915,32.267279,-64.827915,
118,BR0094-21,8 Holly Lane,Smiths,kept,,,,32.319887,-64.739033,32.319887,-64.739033,
119,B0255-21,14 Windy Bank,Smiths,kept,,,,32.314782,-64.743554,32.314782,-64.743554,
120,B0256-21,2 Astwood Road,Paget,kept,,,,32.291189,-64.766623,32.291189,-64.766623,
121,B0318-21,51 St. David's Road Unit: A,St. George,kept,,,,32.365483,-64.664436,32.365483,-64.664436,
122,B0283-21,4 Salt Kettle Road,Paget,kept,,,,32.282192,-64.790646,32.282192,-64.790646,
123,BR0183-21,13 Inglewood Lane,Paget,kept,,,,32.284923,-64.765395,32.284923,-64.765395,
124,BC0074-21,25 Pomander Road,Paget,kept,,,,32.291161,-64.77411,32.291161,-64.77411,
125,BR0184-21,19 Stowe Hill,Paget,kept,,,,32.289049,-64.773041,32.289049,-64.773041,
126,BR0182-21,54 St. Anne's Road,Southampton,RELOCATED,near-number,#64 street annes road,>0.3km from street annes road,32.252556,-64.838157,32.2528267,-64.8345101,0.34
127,BR0235-21,22 Crossfield Drive,Sandys,kept,,,,32.301287,-64.875793,32.301287,-64.875793,
128,BR0202-21,16 Fairways Road,Warwick,kept,,,,32.262642,-64.830564,32.262642,-64.830564,
129,BC0140-21,10 WindReach Lane,Warwick,kept,,,,32.262617,-64.810158,32.262617,-64.810158,
130,BR0222-21,26 Castile Road,Warwick,kept,,,,32.265839,-64.829075,32.265839,-64.829075,
131,BC0138-21,56 Church Street,City of Hamilton,kept,,,,32.2939975,-64.7824583,32.2939975,-64.7824583,
132,BR0287-21,3 Wingood Way,Sandys,kept,,,,32.280111,-64.873297,32.280111,-64.873297,
133,BC0154-21,6 College Rise,Paget,kept,,,,32.278732,-64.776298,32.278732,-64.776298,
134,BR0275-21,9 Lagoon Drive,Paget,kept,,,,32.291273,-64.760036,32.291273,-64.760036,
135,B0591-21,6 Flat Rock Close,Pembroke,kept,,,,32.307083,-64.811466,32.307083,-64.811466,
136,BR0264-21,12 Pitts Bay Road,Pembroke,kept,,,,32.298089,-64.797264,32.298089,-64.797264,
137,BC0188-21,19 Dundonald Street West,City of Hamilton,kept,,,,32.296082,-64.785134,32.296082,-64.785134,
138,BR0330-21,38 South Road,Devonshire,kept,,,,32.299717,-64.747314,32.299717,-64.747314,
139,BR0009-22,23 Middle Road,Paget,kept,,,,32.280364,-64.789032,32.280364,-64.789032,
140,BR0003-22,3 Windy Ridge Road,Warwick,kept,,,,32.278724,-64.797621,32.278724,-64.797621,
141,BR0038-22,11 Vaughan's Bay Drive,St. George,kept,,,,32.3695125,-64.6557974,32.3695125,-64.6557974,
142,BR0026-22,3 Seabright Avenue,Paget,kept,,,,32.291840433333334,-64.7637586333333,32.291840433333334,-64.7637586333333,
143,BR0035-22,10 Brown Estates Road,Hamilton,kept,,,,32.336619,-64.731023,32.336619,-64.731023,
144,BR0041-22,1 Scarrington Hill,Paget,RELOCATED,street,scarrington hill (22 pts in parish),wrong parish,32.292061,-64.78513,32.2799048,-64.7861847,1.36
145,BR0039-22,43 Harbour Road,Paget,kept,,,,32.284171,-64.78565,32.284171,-64.78565,
146,BR0353-21,1 Newport Gardens,Southampton,kept,,,,32.252626811111114,-64.845693,32.252626811111114,-64.845693,
147,B0052-22,4 Barnes Valley,Paget,kept,,,,32.281647,-64.778566,32.281647,-64.778566,
148,BR0060-22,12 Pitts Bay Road,Pembroke,kept,,,,32.298089,-64.797264,32.298089,-64.797264,
149,BR0013-22,36 Horseshoe Road,Southampton,kept,,,,32.258547,-64.819854,32.258547,-64.819854,
150,B0499-21,7 Granaway Heights Road,Southampton,kept,,,,32.252166,-64.861302,32.252166,-64.861302,
151,B0500-21,1 Glenwood Park Lane,Warwick,kept,,,,32.267712,-64.796189,32.267712,-64.796189,
152,B0173-22,31 Melville Road,Devonshire,kept,,,,32.303719,-64.754045,32.303719,-64.754045,
153,BC0155-21,56 St. John's Road,Pembroke,kept,,,,32.300855,-64.794857,32.300855,-64.794857,
154,BR0088-22,12 Leacraft Hill Road,Southampton,kept,,,,32.260429,-64.871768,32.260429,-64.871768,
155,B0215-22,6 Aunt Jinny's Lane,St. George,kept,,,,32.368196,-64.673791,32.368196,-64.673791,
156,B0210-22,2 Turtle Place,Southampton,kept,,,,32.254371,-64.822919,32.254371,-64.822919,
157,B0213-22,9 Middle Road,Warwick,kept,,,,32.263627,-64.818196,32.263627,-64.818196,
158,B0211-22,22 Harrington Sound Road,Hamilton,RELOCATED,near-number,#19 harrington sound road,>0.3km from harrington sound road,32.333198,-64.707918,32.3315121,-64.7112575,0.37
159,BR0068-22,10 Cedarberry Drive,Hamilton,kept,,,,32.34007,-64.709838,32.34007,-64.709838,
160,B0621-21,7 Rushy Lane,Sandys,kept,,,,32.298058,-64.874695,32.298058,-64.874695,
161,BC0020-22,27 Serpentine Road,Pembroke,kept,,,,32.297937,-64.792059,32.297937,-64.792059,
162,B0224-22,13 Belmont Road,Warwick,kept,,,,32.274768,-64.801626,32.274768,-64.801626,
163,B0234-22,2 Ord Valley Lane Unit: A,Warwick,kept,,,,32.270334,-64.794207,32.270334,-64.794207,
164,BR0083-22,2 Trunk Island,Hamilton,kept,,,,32.333328,-64.727405,32.333328,-64.727405,
165,BR0108-22,116 Harbour Road,Paget,kept,,,,32.289109,-64.778142,32.289109,-64.778142,
166,B0243-22,34 Harbour Road Unit: A,Paget,kept,,,,32.282209,-64.789155,32.282209,-64.789155,
167,B0212-22,23 Point Shares Road,Pembroke,kept,,,,32.2920063,-64.8039222,32.2920063,-64.8039222,
168,B0199-22,3 Mill Shares Road,Pembroke,kept,,,,32.296575,-64.801409,32.296575,-64.801409,
169,B0264-22,6 Hinson Island,Paget,kept,,,,32.281492,-64.80354,32.281492,-64.80354,
170,B0253-22,5 Fairyland Road,Pembroke,kept,,,,32.296397,-64.799038,32.296397,-64.799038,
171,B0251-22,19 Railway Trail,Paget,kept,,,,32.282435,-64.77464,32.282435,-64.77464,
172,B0265-22,3 Bluck Point Road,Pembroke,kept,,,,32.301988,-64.810955,32.301988,-64.810955,
173,B0256-22,13 Melville Crescent,Devonshire,kept,,,,32.300598,-64.751133,32.300598,-64.751133,
174,B0275-22,1 St. Patrick's Close,Smiths,RELOCATED,street,street patricks close (4 pts in parish),wrong parish,32.250949,-64.843562,32.3071978,-64.7402722,11.57
175,B0232-22,32 Dundonald Street,City of Hamilton,kept,,,,32.29584,-64.781915,32.29584,-64.781915,
176,B0214-22,4 Peters Road,Hamilton,kept,,,,32.334625,-64.734321,32.334625,-64.734321,
177,B0239-22,19 Melville Crescent,Devonshire,kept,,,,32.300322,-64.75007,32.300322,-64.75007,
178,B0273-22,12 Scarrington Hill,Paget,kept,,,,32.27894,-64.78625,32.27894,-64.78625,
179,B0283-22,12 The Lane,Paget,kept,,,,32.290739,-64.771277,32.290739,-64.771277,
180,B0278-22,77 Sleepy Hollow Drive,Hamilton,kept,,,,32.340336,-64.728756,32.340336,-64.728756,
181,BC0041-22,38 Frog Lane,Devonshire,kept,,,,32.300171,-64.769805,32.300171,-64.769805,
182,BC0119-21,36 Pompano Beach Road,Southampton,RELOCATED,exact,addr point 36 pompano beach road,>0.1km from pompano beach road,32.26146178,-64.87336758,32.262134,-64.8787311,0.51
183,B0277-22,18 Cottage Hill Road West,Hamilton,kept,,,,32.341404,-64.729135,32.341404,-64.729135,
184,B0279-22,16 Harbour Road,Paget,RELOCATED,near-number,#27 harbour road,>0.3km from harbour road,32.280533,-64.792226,32.28383,-64.7866553,0.64
185,B0286-22,4 Westering Lane,Warwick,kept,,,,32.27397,-64.79437,32.27397,-64.79437,
186,B0280-22,61 Spice Hill Road,Warwick,kept,,,,32.261623,-64.809328,32.261623,-64.809328,
187,B0291-22,31 Tamarind Vale,Warwick,kept,,,,32.26958,-64.813951,32.26958,-64.813951,
188,B0202-22,13 Harrington Sound Road,Hamilton,kept,,,,32.330494,-64.711837,32.330494,-64.711837,
189,B0310-22,3 Bluebird Lane,Sandys,kept,,,,32.279869,-64.874234,32.279869,-64.874234,
190,B0309-22,4 Bluebird Lane,Sandys,kept,,,,32.279246,-64.874482,32.279246,-64.874482,
191,B0314-22,3 Skyline Road,Smiths,kept,,,,32.317997,-64.720393,32.317997,-64.720393,
192,B0308-22,24 Glenwood Park Crescent,Warwick,kept,,,,32.268609,-64.795506,32.268609,-64.795506,
193,B0252-22,7 Speakers Drive,Devonshire,REVIEW,parish-anchor,centre of Devonshire road network,street not found in OSM — NEEDS REVIEW,,,32.3039374,-64.7591087,
194,BC0042-22,65 Pitts Bay Road,Pembroke,kept,,,,32.2923572,-64.791171,32.2923572,-64.791171,
195,B0332-22,18 Scaur Hill Drive,Sandys,kept,,,,32.282344,-64.875523,32.282344,-64.875523,
196,B0325-22,9 Kilderry Drive,Smiths,kept,,,,32.312129,-64.745703,32.312129,-64.745703,
197,B0351-22,10 Hastings Road,Pembroke,kept,,,,32.2925679,-64.8016998,32.2925679,-64.8016998,
198,BC0069-22,9 Elliott Street,City of Hamilton,kept,,,,32.29732,-64.78297,32.29732,-64.78297,
199,B0329-22,2 Frascati Lane,Smiths,kept,,,,32.320955,-64.739526,32.320955,-64.739526,
200,B0350-22,39 South Road,Southampton,kept,,,,32.249934,-64.849128,32.249934,-64.849128,
201,B0347-22,50 Morgan Road,Warwick,kept,,,,32.276955,-64.795857,32.276955,-64.795857,
202,B0349-22,80 Middle Road,Devonshire,RELOCATED,street-anchored,#94 middle road,wrong parish,32.320005,-64.734883,32.3036953,-64.7558272,2.68
203,B0346-22,12 Commonland Point Road,Hamilton,kept,,,,32.330607,-64.73755,32.330607,-64.73755,
204,B0345-22,13 Sayle Road,Smiths,kept,,,,32.309584,-64.739209,32.309584,-64.739209,
205,B0342-22,15 Beulah Lane,Sandys,kept,,,,32.299217,-64.867237,32.299217,-64.867237,
206,BC0084-22,7 North Shore Road,Devonshire,RELOCATED,exact,addr point 7 north shore road,>0.1km from north shore road,32.30699757586207,-64.7738048172413,32.3074017,-64.7748124,0.1
207,B0359-22,5 Crestwood Drive,Pembroke,kept,,,,32.303564,-64.815352,32.303564,-64.815352,
208,B0227-22,122 North Shore Road,Hamilton,kept,,,,32.340229,-64.736786,32.340229,-64.736786,
209,B0365-22,20 Jennings Road,Smiths,RELOCATED,near-number,#19 jennings road,>0.3km from jennings road,32.320607,-64.741398,32.3183028,-64.7387109,0.36
210,B0373-22,2 Fairmont Drive,Southampton,kept,,,,32.252663,-64.824422,32.252663,-64.824422,
211,B0367-22,124 Middle Road,Southampton,RELOCATED,near-number,#118 middle road,>0.3km from middle road,32.255716,-64.83705,32.2548832,-64.8406697,0.35
212,B0371-22,18 Gilbert Hill,Smiths,kept,,,,32.310405,-64.739284,32.310405,-64.739284,
213,B0372-22,37 South Road,Southampton,kept,,,,32.250189,-64.849057,32.250189,-64.849057,
214,B0363-22,15 Kilderry Lane,Smiths,kept,,,,32.312085,-64.746432,32.312085,-64.746432,
215,B0313-22,117 Middle Road,Southampton,RELOCATED,near-number,#118 middle road,>0.3km from middle road,32.253657,-64.847854,32.2548832,-64.8406697,0.69
216,B0392-22,11 Bayfield Road,Warwick,kept,,,,32.264681,-64.818537,32.264681,-64.818537,
217,B0370-22,25 Gibbs Hill Road,Southampton,kept,,,,32.25372,-64.837044,32.25372,-64.837044,
218,B0403-22,54 Knapton Estates Road,Smiths,kept,,,,32.319661,-64.716842,32.319661,-64.716842,
219,B0398-22,8 Westwood Lane,Paget,kept,,,,32.287388,-64.780262,32.287388,-64.780262,
220,B0405-22,8 Appleby Lane,Paget,kept,,,,32.289,-64.771278,32.289,-64.771278,
221,B0395-22,11 Benevides Lane,Southampton,kept,,,,32.256261,-64.862166,32.256261,-64.862166,
222,B0410-22,12 Rose Hill Road,Southampton,kept,,,,32.261708,-64.870568,32.261708,-64.870568,
223,B0195-22,19 South Road,Southampton,kept,,,,32.250391,-64.85057,32.250391,-64.85057,
224,B0382-22,20 Woodbourne Avenue,Pembroke,kept,,,,32.2927587,-64.7895377,32.2927587,-64.7895377,
225,B0423-22,8 South Avenue,Southampton,kept,,,,32.255599,-64.822864,32.255599,-64.822864,
226,B0411-22,4 Sears Hill Road,Smiths,kept,,,,32.313466,-64.733358,32.313466,-64.733358,
227,B0426-22,17 Store Hill,Smiths,kept,,,,32.3175347,-64.7463399666666,32.3175347,-64.7463399666666,
228,B0413-22,79 Middle Road,Warwick,kept,,,,32.270226,-64.804049,32.270226,-64.804049,
229,B0343-22,19 Stardust Drive,Hamilton,kept,,,,32.337594,-64.729783,32.337594,-64.729783,
230,B0434-22,1 Two Way Mews,Pembroke,kept,,,,32.298826,-64.778847,32.298826,-64.778847,
231,BR0184-22,10 Harrington Sound Road,Smiths,RELOCATED,near-number,#4 harrington sound road,>0.3km from harrington sound road,32.321583,-64.732999,32.32193,-64.7253145,0.72
232,B0440-22,99 Harrington Sound Road,Smiths,kept,,,,32.325188,-64.715632,32.325188,-64.715632,
233,B0412-22,12 Belmont Road,Warwick,kept,,,,32.274263,-64.803115,32.274263,-64.803115,
234,B0394-22,8 Lone Palm Drive,Pembroke,kept,,,,32.295165,-64.80576,32.295165,-64.80576,
235,B0428-22,9 Port Royal Gardens,Southampton,kept,,,,32.253296,-64.844369,32.253296,-64.844369,
236,B0421-22,15 Mizzentop,Warwick,kept,,,,32.273301,-64.807095,32.273301,-64.807095,
237,B0414-22,5 Jennings Road,Smiths,kept,,,,32.322108,-64.740832,32.322108,-64.740832,
238,B0435-22,5 Sunset Pass,Pembroke,kept,,,,32.304898,-64.801096,32.304898,-64.801096,
239,B0445-22,35 Tuckers Town Road,St. George,kept,,,,32.333606,-64.6874645,32.333606,-64.6874645,
240,B0437-22,2 Millhouse Bay Lane,Hamilton,kept,,,,32.34144,-64.708892,32.34144,-64.708892,
241,B0225-22,15 Point Pleasant Road,City of Hamilton,kept,,,,32.2912,-64.787432,32.2912,-64.787432,
242,B0436-22,33 Knapton Hill,Smiths,kept,,,,32.317326,-64.720308,32.317326,-64.720308,
243,BR0190-22,44 West Side Road,Sandys,kept,,,,32.296346,-64.87516,32.296346,-64.87516,
